Name_Phone,Rating,Ratings_Votes,Reviews,Storages,Display Size,Cemara,Battery,Processor,Warranty,Discounted_price,Actual_price,offer
"Google Pixel 9A (Porcelain, 256 GB)",4.5,"8,289 Ratings",548 Reviews,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor,1 Year Domestic Warranty,"₹39,999","₹49,999",20% off
"Google Pixel 9A (Iris, 256 GB)",4.5,"8,289 Ratings",548 Reviews,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor,1 Year Domestic Warranty,"₹39,999","₹49,999",20% off
"vivo X200T (Stellar Black, 256 GB)",4.7,776 Ratings,133 Reviews,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 50MP + 50MP | 32MP Front Camera,6200 mAh Battery,Dimensity 9400+ Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹59,999","₹79,999",25% off
"vivo X200T (Seaside Lilac, 256 GB)",4.7,776 Ratings,133 Reviews,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 50MP + 50MP | 32MP Front Camera,6200 mAh Battery,Dimensity 9400+ Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹59,999","₹79,999",25% off
"Google Pixel 9A (Obsidian, 256 GB)",4.5,"8,289 Ratings",548 Reviews,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor,1 Year Domestic Warranty,"₹39,999","₹49,999",20% off
"OnePlus 12 (Glacial White, 256 GB)",4.6,"1,536 Ratings",119 Reviews,12 GB RAM | 256 GB ROM,17.32 cm (6.82 inch) Full HD+ AMOLED Display,50MP Rear Camera,5400 mAh Battery,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor,1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,"₹46,999","₹64,999",27% off
"Xiaomi 14 CIVI (Panda White, 512 GB)",4.3,"1,365 Ratings",120 Reviews,12 GB RAM | 512 GB ROM,16.64 cm (6.55 inch) Display,50MP Rear Camera | 32MP + 32MP Dual Front Camera,4700 mAh Battery,8s Gen 3 Mobile Platform Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹44,999","₹59,999",25% off
"Apple iPhone 15 (Black, 128 GB)",4.6,"2,73,153 Ratings","9,542 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,"₹54,900","₹59,900",8% off
"Google Pixel 10a (Fog, 256 GB)",4.8,58 Ratings,7 Reviews,8 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,5100 mAh Lithium Battery,Tensor G4 Processor,1 year domestic warranty,"₹49,999",,
"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)",4.4,"2,261 Ratings",156 Reviews,8 GB RAM | 256 GB ROM,17.53 cm (6.9 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,4500 mAh Battery,Dimensity 7400X Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹49,999","₹54,999",9% off
"OPPO Reno14 5G (Forest Green, 512 GB)",4.5,"4,055 Ratings",360 Reviews,12 GB RAM | 512 GB ROM,16.74 cm (6.59 inch) Display,50MP + 8MP + 50MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹47,999",,
"Samsung Galaxy S24 Exynos 5G (Marble Gray, 256 GB)",4.6,"8,718 Ratings",470 Reviews,8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,Exynos 2400 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹55,999","₹79,999",30% off
"OnePlus 13s 5G (Black Velvet, 256 GB)",4.6,"1,523 Ratings",112 Reviews,12 GB RAM | 256 GB ROM,16.05 cm (6.32 inch) Display,50MP Rear Camera,5850 mAh Battery,1 Year Warranty,,"₹49,405","₹57,999",14% off
"OnePlus 15R 5G (Charcoal Black, 256 GB)",4.6,640 Ratings,36 Reviews,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera,7400 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,"₹48,490","₹54,999",11% off
"OPPO Reno14 Pro 5G (Titanium Grey, 256 GB)",4.5,"1,854 Ratings",212 Reviews,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Full HD+ Display,50MP + 50MP + 50MP | 50MP Front Camera,6200 mAh Battery,Dimensity 8450 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹54,999",,
"OnePlus 15R 5G (Charcoal Black, 512 GB)",4.6,640 Ratings,36 Reviews,12 GB RAM | 512 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera,7400 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,"₹53,257","₹59,999",11% off
"Samsung Galaxy Z Flip4 5G (Bora Purple, 128 GB)",3.9,383 Ratings,25 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,12MP + 12MP | 10MP Front Camera,3700 mAh Lithium Ion Battery,Qualcomm Snapdragon 8+ Gen 1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹48,853","₹1,01,999",52% off
"Samsung Galaxy S25 FE 5G (Jetblack, 128 GB)",4.6,111 Ratings,6 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP + 8MP | 12MP Front Camera,4900 mAh Li-ion Battery,Exynos 2400 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹59,999",,
"Google Pixel 10a (Obsidian, 256 GB)",4.8,58 Ratings,7 Reviews,8 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,5100 mAh Lithium Battery,Tensor G4 Processor,1 year domestic warranty,"₹49,999",,
"OnePlus 13s 5G (Black Velvet, 512 GB)",4.6,"1,523 Ratings",112 Reviews,12 GB RAM | 512 GB ROM,16.05 cm (6.32 inch) Display,50MP Rear Camera,5850 mAh Battery,1 Year Warranty,,"₹56,380","₹62,999",10% off
"vivo V70 (Passion Red, 256 GB)",4.7,38 Ratings,2 Reviews,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inches) Full HD+ AMOLED Display,50MP + 50MP + 8MP | Yes,6500 mAh Li-ion battery Battery,Snapdragon 7 Gen 4 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹49,999","₹53,999",7% off
"OnePlus 13R 5G (Nebula Noir, 256 GB)",4.5,"5,448 Ratings",326 Reviews,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,,"₹39,795","₹44,999",11% off
"OnePlus 15R 5G (Mint Breeze, 256 GB)",4.6,640 Ratings,36 Reviews,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera,7400 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,"₹48,139","₹54,999",12% off
"OPPO Reno13 Pro 5G (Graphite Grey, 256 GB)",4.5,"1,056 Ratings",132 Reviews,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP + 50MP + 8MP | 50MP Front Camera,5800 mAh Battery,Dimensity 8350 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹45,488","₹54,999",17% off
