idtrip,date,cityid,passengertype,distance_km,fareamount,passengerrating,driverrating,pickuptime
1,2024-01-24,16,old,9.5,10.25,3.4,4.5,0:36:10
2,2024-02-18,18,new,24.1,60.22,4.3,3.5,4:46:07
3,2024-02-29,9,new,30,50.6,3.3,4.4,15:09:07
4,2024-01-25,12,new,10.6,9.76,4.5,3.6,9:29:48
5,2024-01-26,3,new,28.9,19.22,4.1,4.2,20:34:32
6,2024-01-09,12,new,27.6,59.54,4,4.3,21:43:02
7,2024-01-24,18,new,20.5,18.43,3.6,3.6,11:38:27
8,2024-01-04,13,old,2.3,67.49,3.4,4.2,23:54:15
9,2024-02-21,20,old,28.2,38.14,4.3,4.1,4:02:30
10,2024-01-12,15,new,30.9,84.4,4.7,4.1,8:01:10
11,2024-02-03,7,old,16.5,5.61,3.9,4.1,7:43:15
12,2024-01-10,15,old,14.6,70.62,3.3,4.9,1:45:15
13,2024-01-03,18,new,5.2,28.21,4.4,3.8,20:45:40
14,2024-01-17,20,old,5.4,22.15,4.7,3.8,4:56:08
15,2024-01-06,12,old,20.5,38.13,4,4.8,0:38:12
16,2024-02-08,3,old,12.2,15.5,4.5,4.4,2:56:15
17,2024-01-07,20,old,34.3,19.37,4.5,3.6,3:26:31
18,2024-01-09,17,old,21.8,77.1,3.6,3.7,19:13:53
19,2024-01-01,19,old,24.4,79.64,3.5,3.6,17:27:23
20,2024-02-23,16,old,8.2,83.38,3.9,4.1,4:06:18
21,2024-01-26,8,new,25.7,26.77,4.9,4.3,6:39:47
22,2024-01-12,20,new,3.5,46.52,3.8,4.6,9:01:43
23,2024-01-31,3,new,6.3,86.12,4,4.1,4:55:23
24,2024-01-11,20,new,20.6,17.46,4.5,4.4,19:44:52
25,2024-02-25,3,old,5.2,8.26,4.2,4.3,19:01:18
26,2024-01-14,9,new,25.6,29.88,4.7,3.7,6:51:12
27,2024-01-11,12,old,14.5,23.88,5,5,2:18:24
28,2024-02-19,14,old,21.8,87.24,4.1,4.8,16:56:35
29,2024-02-04,4,new,14.9,52.57,3.7,3.6,2:50:30
30,2024-01-18,17,old,18.2,38.76,3.2,4.8,7:42:24
31,2024-01-02,1,old,14.5,69.35,3.7,4.8,7:30:48
32,2024-02-14,13,new,3.4,31.59,3.7,4.2,16:19:07
33,2024-01-05,3,old,25.1,35.62,3.6,4.4,2:32:16
34,2024-02-19,19,old,6,77.24,4.5,3.5,20:55:19
35,2024-01-01,7,new,13.5,37.15,3.1,4,4:21:19
36,2024-02-20,11,new,29.1,39.23,3.9,4.3,8:45:01
37,2024-01-03,17,old,1.9,32.83,3.6,4.2,14:25:07
38,2024-02-19,13,new,8.1,50.59,4,4.7,22:41:53
39,2024-02-24,9,old,14.6,53.7,5,4.6,1:19:58
40,2024-02-02,11,new,19.1,85.17,4.7,3.5,21:14:57
41,2024-01-28,17,new,11.9,48.72,3.8,4.1,20:03:50
42,2024-01-26,11,new,20.2,52.43,4.1,3.8,23:18:56
43,2024-02-10,18,new,23.9,77.31,4.3,3.8,18:02:55
44,2024-01-06,15,new,28.6,23.77,3.6,4.2,7:53:37
45,2024-01-01,11,old,21.5,12.99,3.9,3.9,9:01:58
46,2024-02-26,9,old,18,63.1,4.1,4.2,2:52:43
47,2024-01-13,14,old,12.2,54.47,3.3,3.8,3:29:32
48,2024-01-30,18,old,1.2,54.45,4.4,3.7,17:37:08
49,2024-01-03,20,new,24.1,39.94,3.5,4.2,9:32:50
50,2024-02-10,20,new,27.2,21.57,4.8,4,14:59:06
51,2024-02-16,13,old,21.5,24.96,4.7,3.9,18:28:44
52,2024-01-21,18,new,27.9,10.76,4.7,4.2,22:42:49
53,2024-02-04,6,old,33.8,17.5,4.2,3.6,23:00:25
54,2024-02-15,18,old,14.4,65.86,4.7,4.6,5:47:07
55,2024-02-18,17,old,26.8,44.09,3.1,3.6,4:41:30
56,2024-01-07,4,new,7.7,72.09,3.9,4.6,2:21:49
57,2024-02-04,8,old,12.8,28.05,4.1,3.7,7:52:08
58,2024-02-13,2,new,8.1,32.12,3.4,4.5,6:10:11
59,2024-02-15,6,new,33.6,59.38,3.6,5,2:20:14
60,2024-01-09,19,new,9.2,13.98,3.4,3.6,2:08:05
61,2024-01-05,15,new,12.2,83.6,4.2,3.6,10:00:08
62,2024-01-01,12,new,15.8,25.24,3.5,5,8:03:52
63,2024-01-04,7,new,15.7,64.45,4.8,4.4,6:56:15
64,2024-01-01,20,new,9.6,87.61,3.5,4.3,2:24:10
65,2024-01-20,17,old,18.7,74.56,4.5,3.8,7:30:05
66,2024-01-23,2,old,28.1,26.79,3.2,3.8,22:34:39
67,2024-01-15,2,old,24.7,82.36,3.2,4.4,13:58:49
68,2024-02-01,20,old,24.4,30.97,3.7,4.6,21:25:41
69,2024-01-26,9,old,30.6,21.23,3.7,3.7,19:24:53
70,2024-02-08,2,new,12.2,32.97,3.5,4.5,16:40:30
71,2024-01-17,4,new,12.5,89.61,4.9,3.8,2:13:04
72,2024-01-20,3,new,24.6,81.86,4.6,4.2,10:41:25
73,2024-01-07,11,old,31,22.32,3.1,3.6,21:05:27
74,2024-01-05,14,old,22.7,76.68,3.4,4.9,12:29:03
75,2024-01-14,3,old,21.3,13.7,4.6,4,7:30:50
76,2024-02-14,5,new,5.8,36.9,3.3,3.9,3:33:26
77,2024-02-24,6,new,1.4,19.08,3.8,5,5:07:24
78,2024-02-04,2,new,12.5,50.01,5,4.7,11:30:47
79,2024-02-02,20,old,31.9,8.94,4.9,4.7,8:13:22
80,2024-01-21,7,old,33,70.58,3.9,4.4,14:53:29
81,2024-01-08,10,old,32.5,38.68,3.5,4.6,20:44:24
82,2024-01-04,7,old,3.9,44.23,4.5,4.9,22:01:26
83,2024-02-04,16,old,11,5.12,4.3,3.9,12:45:52
84,2024-02-24,12,new,11.5,10.87,3.2,3.8,4:11:05
85,2024-01-31,6,old,14.7,82.2,3.9,4.9,14:45:15
86,2024-01-04,8,new,2.6,66.34,3.6,4.1,18:22:23
87,2024-02-05,17,old,14.1,88.93,4.4,4.6,14:15:19
88,2024-02-16,14,old,8,73.62,3.5,4.8,21:40:08
89,2024-01-20,5,new,6.2,21.55,4.5,5,23:42:16
90,2024-02-02,16,new,24.5,33.91,4.1,4.5,0:17:58
91,2024-02-04,16,old,18.5,46.23,4.8,3.6,9:39:18
92,2024-02-09,20,new,31.2,38.45,4,4.3,15:04:16
93,2024-01-23,16,old,21.7,82.63,4.2,4.9,13:43:45
94,2024-02-10,14,old,20.3,65.09,3,3.8,7:59:28
95,2024-02-22,3,new,8,11.23,3.2,4.8,0:26:30
96,2024-01-12,15,old,33.6,87.25,3,3.6,16:14:52
97,2024-02-11,6,new,2.1,80.3,4.2,4.5,6:32:12
98,2024-02-12,13,new,8.1,41.65,3.6,3.8,5:02:43
99,2024-01-15,7,new,5.2,48.86,4.3,5,2:28:10
100,2024-02-15,10,old,34.5,87.33,4.4,4.6,8:25:37
101,2024-02-11,8,old,32.8,57.21,4.7,4,8:32:57
102,2024-01-16,19,old,20.8,26.63,4,4,9:11:42
103,2024-01-23,11,new,17.4,8.78,4.6,4.6,13:09:00
104,2024-01-17,8,old,26.7,47.15,4,4.1,1:51:43
105,2024-02-13,10,new,1.5,89.31,3.6,4.3,1:23:19
106,2024-01-13,15,new,24.2,48.21,3.8,4.2,19:02:12
107,2024-01-01,2,old,9.2,39.97,4.7,4.8,21:12:22
108,2024-02-27,6,old,27.4,77.89,3.6,3.9,17:41:59
109,2024-01-13,4,old,31.4,47.24,4.6,3.5,17:09:26
110,2024-02-23,14,new,12.7,79.09,4.9,3.9,22:58:02
111,2024-02-03,20,new,24,60.83,4.8,3.9,11:33:08
112,2024-01-29,3,old,30.2,77.65,3.8,3.8,17:11:38
113,2024-02-25,17,old,34.2,28.36,3,4.4,17:45:25
114,2024-02-21,1,old,23.2,42.84,3.8,4.1,1:56:41
115,2024-02-18,15,new,16.1,24.29,3.4,4.9,23:53:39
116,2024-01-20,12,new,20.3,23.02,4.5,4.2,0:26:21
117,2024-02-06,19,old,4.4,29.17,3,4.6,10:47:30
118,2024-02-23,16,old,1.3,21.69,4.9,4.1,22:29:20
119,2024-01-06,15,old,22.4,66.04,4.6,4.3,18:31:20
120,2024-01-12,2,old,8.4,76.1,4.8,4.6,16:59:42
121,2024-02-22,11,new,10.9,56.85,4.3,4.7,11:12:22
122,2024-01-06,9,old,19.8,38.96,3.8,3.6,3:52:19
123,2024-02-05,7,new,27.8,88.59,3.7,4,20:42:19
124,2024-01-16,7,new,17.4,69.22,4,4.5,0:49:22
125,2024-01-20,13,new,15.5,37.11,3.7,4.1,2:37:51
